Volatility 3 Framework 2.28.1

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

2332	mspaint.exe	0xf8a00183b060	0x4	Key	0x9	MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
2332	mspaint.exe	0xf8a0006aaeb0	0x8	Directory	0x3	KnownDlls
2332	mspaint.exe	0xfa800252be90	0xc	File	0x100020	\Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories
2332	mspaint.exe	0xfa8002de8f20	0x10	File	0x100020	\Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
2332	mspaint.exe	0xf8a001f39f20	0x14	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS
2332	mspaint.exe	0xfa8002e42e60	0x18	ALPC Port	0x1f0001	-
2332	mspaint.exe	0xfa8002d6b2a0	0x1c	Mutant	0x1f0001	-
2332	mspaint.exe	0xf8a002000270	0x20	Key	0x20019	MACHINE
2332	mspaint.exe	0xfa8002a0ddd0	0x24	Event	0x1f0003	-
2332	mspaint.exe	0xf8a002006330	0x28	Key	0x1	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER
2332	mspaint.exe	0xfa80025cbfb0	0x2c	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002562640	0x30	Event	0x21f0003	-
2332	mspaint.exe	0xfa800256df60	0x34	WindowStation	0xf037f	WinSta0
2332	mspaint.exe	0xfa8002575ac0	0x38	Desktop	0xf01ff	Default
2332	mspaint.exe	0xfa800256df60	0x3c	WindowStation	0xf037f	WinSta0
2332	mspaint.exe	0xfa8002cf18f0	0x40	File	0x120089	\Device\HarddiskVolume2\Windows\System32\en-US\mspaint.exe.mui
2332	mspaint.exe	0xfa8002af5fb0	0x44	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002d558a0	0x48	Event	0x1f0003	-
2332	mspaint.exe	0xfa80025ab2e0	0x4c	Event	0x1f0003	-
2332	mspaint.exe	0xfa8001c8e5c0	0x50	Event	0x1f0003	-
2332	mspaint.exe	0xfa80025f03e0	0x54	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002a106d0	0x58	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002a0ce60	0x5c	Event	0x1f0003	-
2332	mspaint.exe	0xf8a0075e2a30	0x60	Directory	0xf	BaseNamedObjects
2332	mspaint.exe	0xfa8002b15790	0x64	File	0x120089	\Device\HarddiskVolume2\Windows\System32\en-US\odbcint.dll.mui
2332	mspaint.exe	0xf8a002003060	0x68	Key	0xf003f	USER\S-1-5-21-3250965633-1025459530-2511060372-1000
2332	mspaint.exe	0xfa8001ef02e0	0x6c	File	0x120089	\Device\HarddiskVolume2\Windows\System32\en-US\MFC42u.dll.mui
2332	mspaint.exe	0xfa8002679d00	0x70	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa80027b7fb0	0x74	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa800268bfb0	0x78	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa80026499d0	0x7c	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa800282aed0	0x80	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa80027fb7c0	0x84	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002827780	0x88	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002839940	0x8c	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002565bc0	0x90	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002569b20	0x94	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa800259c740	0x98	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa800258b950	0x9c	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa800258ef00	0xa0	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa800258ebf0	0xa4	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002591970	0xa8	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002593fb0	0xac	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa800283a5a0	0xb0	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002540490	0xb4	File	0x100020	\Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.18455_none_2b283fd671e9bf4d
2332	mspaint.exe	0xfa80025e6940	0xb8	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa80025e7900	0xbc	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002d933f0	0xc0	ALPC Port	0x1f0001	-
2332	mspaint.exe	0xf8a001864fc0	0xc4	Section	0x4	-
2332	mspaint.exe	0xfa80024f04b0	0xc8	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002a08940	0xcc	Thread	0x1fffff	Tid 2340 Pid 2332
2332	mspaint.exe	0xfa8002a50970	0xd0	Event	0x21f0003	-
2332	mspaint.exe	0xf8a001ea11c0	0xd4	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE
2332	mspaint.exe	0xfa80025ea970	0xd8	EtwRegistration	0x804	-
2332	mspaint.exe	0xf8a001ed76e0	0xdc	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE\ALTERNATE SORTS
2332	mspaint.exe	0xf8a001fdcfa0	0xe0	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LANGUAGE GROUPS
2332	mspaint.exe	0xfa8000cb1b10	0xe4	Event	0x1f0003	-
2332	mspaint.exe	0xfa80025f9090	0xe8	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002a20510	0xec	File	0x100001	\Device\KsecDD
2332	mspaint.exe	0xfa8002a20450	0xf0	EtwRegistration	0x804	-
2332	mspaint.exe	0xf8a002017820	0xf4	Key	0xf003f	USER\S-1-5-21-3250965633-1025459530-2511060372-1000_CLASSES
2332	mspaint.exe	0xfa8000cb93e0	0xf8	Event	0x100001	MaximumCommitCondition
2332	mspaint.exe	0xf8a001681210	0xfc	Section	0x4	__ComCatalogCache__
2332	mspaint.exe	0xf8a001681210	0x100	Section	0x4	__ComCatalogCache__
2332	mspaint.exe	0xfa8002b1bca0	0x104	File	0x100020	\Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.18455_none_2b283fd671e9bf4d
2332	mspaint.exe	0xfa80025e6490	0x108	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002b7cbf0	0x10c	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002b451c0	0x110	Mutant	0x1f0001	-
2332	mspaint.exe	0xfa8001cb12b0	0x114	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002af5a10	0x118	Event	0x1f0003	-
2332	mspaint.exe	0xfa80028c3d50	0x11c	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002917ee0	0x120	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002a9c8c0	0x124	Event	0x1f0003	-
2332	mspaint.exe	0xfa800257cf20	0x128	Event	0x1f0003	-
2332	mspaint.exe	0xfa8000d10790	0x12c	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8002688460	0x130	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa800263f870	0x134	Event	0x1f0003	-
2332	mspaint.exe	0xfa800255b360	0x138	Thread	0x1fffff	Tid 2336 Pid 2332
2332	mspaint.exe	0xfa8002683370	0x13c	Event	0x21f0003	-
2332	mspaint.exe	0xf8a001c3da00	0x140	KeyedEvent	0xf0003	-
2332	mspaint.exe	0xfa800265d500	0x144	IoCompletion	0x1f0003	-
2332	mspaint.exe	0xfa8002522d60	0x148	TpWorkerFactory	0xf00ff	-
2332	mspaint.exe	0xfa80026482c0	0x14c	Timer	0x100002	-
2332	mspaint.exe	0xfa8002b88ce0	0x150	Timer	0x1f0003	-
2332	mspaint.exe	0xfa8002a60060	0x154	Thread	0x1fffff	Tid 2344 Pid 2332
2332	mspaint.exe	0xfa8002a60060	0x158	Thread	0x1fffff	Tid 2344 Pid 2332
2332	mspaint.exe	0xfa8002ac7bc0	0x15c	Timer	0x100002	-
2332	mspaint.exe	0xfa80026746b0	0x160	ALPC Port	0x1f0001	-
2332	mspaint.exe	0xfa8001cb1560	0x164	Event	0x1f0003	-
2332	mspaint.exe	0xfa8000d108e0	0x16c	ALPC Port	0x1f0001	OLE3C6DFFC98A1D4CDCAA0BD4232C23
2332	mspaint.exe	0xfa80026885b0	0x170	ALPC Port	0x1f0001	-
2332	mspaint.exe	0xfa800263d370	0x174	Thread	0x1fffff	Tid 3060 Pid 2332
2332	mspaint.exe	0xfa8001113770	0x178	Event	0x21f0003	-
2332	mspaint.exe	0xfa8002661120	0x17c	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002585380	0x180	Event	0x1f0003	-
2332	mspaint.exe	0xfa80025b23c0	0x184	Event	0x1f0003	-
2332	mspaint.exe	0xfa8000def8c0	0x190	File	0x100020	\Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
2332	mspaint.exe	0xfa80026437c0	0x194	File	0x120196	\Device\HarddiskVolume2\Windows\debug\WIA\wiatrace.log
2332	mspaint.exe	0xfa8001c1a200	0x198	Mutant	0x1f0001	WIATRACE_MUTEX
2332	mspaint.exe	0xfa80024132c0	0x19c	Event	0x1f0003	-
2332	mspaint.exe	0xfa800250ebf0	0x1a0	Event	0x100003	-
2332	mspaint.exe	0xfa8001cfe360	0x1a4	Event	0x1f0003	-
2332	mspaint.exe	0xfa8000de2800	0x1a8	Thread	0x1fffff	Tid 2400 Pid 2332
2332	mspaint.exe	0xfa8002626670	0x1ac	ALPC Port	0x1f0001	-
2332	mspaint.exe	0xfa800258cad0	0x1b0	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa800250a270	0x1b4	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa8000de2d20	0x1b8	File	0x100020	\Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
2332	mspaint.exe	0xfa8002af69f0	0x1bc	Event	0x1f0003	-
2332	mspaint.exe	0xfa8001dd4860	0x1c0	Event	0x1f0003	-
2332	mspaint.exe	0xfa8000deff20	0x1c4	File	0x120089	\Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
2332	mspaint.exe	0xf8a001fdf4c0	0x1c8	Section	0xf0005	-
2332	mspaint.exe	0xfa8000dea200	0x1cc	File	0x120089	\Device\HarddiskVolume2\Windows\System32\en-US\UIRibbon.dll.mui
2332	mspaint.exe	0xfa800255b360	0x1d0	Thread	0x84a	Tid 2336 Pid 2332
2332	mspaint.exe	0xfa8000de46f0	0x1d8	EtwRegistration	0x804	-
2332	mspaint.exe	0xfa800255b360	0x1dc	Thread	0x84a	Tid 2336 Pid 2332
2332	mspaint.exe	0xfa80024f3f20	0x1e0	Semaphore	0x1f0003	-
2332	mspaint.exe	0xfa80024f2a10	0x1e4	Semaphore	0x1f0003	-
2332	mspaint.exe	0xfa8001ccd5c0	0x1e8	Event	0x1f0003	-
2332	mspaint.exe	0xfa8000de6f20	0x1ec	File	0x120089	\Device\HarddiskVolume2\Windows\System32\en-US\KernelBase.dll.mui
2332	mspaint.exe	0xfa8001ce10c0	0x1f0	Semaphore	0x1f0003	-
2332	mspaint.exe	0xf8a001f71a60	0x1f4	Key	0xf003f	USER\S-1-5-21-3250965633-1025459530-2511060372-1000_CLASSES
2332	mspaint.exe	0xfa8001d1e900	0x1f8	Event	0x1f0003	-
2332	mspaint.exe	0xf8a0075f2c20	0x1fc	Section	0x6	windows_shell_global_counters
2332	mspaint.exe	0xf8a001f7f930	0x200	Key	0x20019	MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\EXPLORER\FOLDERDESCRIPTIONS\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\PROPERTYBAG
2332	mspaint.exe	0xfa800255b360	0x204	Thread	0x84a	Tid 2336 Pid 2332
2332	mspaint.exe	0xfa800255b360	0x208	Thread	0x84a	Tid 2336 Pid 2332
2332	mspaint.exe	0xfa8002830ee0	0x20c	Semaphore	0x1f0003	-
2332	mspaint.exe	0xfa8001bf59c0	0x210	Semaphore	0x1f0003	-
2332	mspaint.exe	0xfa80024f7990	0x214	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002b372c0	0x218	Event	0x1f0003	-
2332	mspaint.exe	0xfa80026622f0	0x21c	Semaphore	0x1f0003	-
2332	mspaint.exe	0xfa8002662370	0x220	Thread	0x1fffff	Tid 2408 Pid 2332
2332	mspaint.exe	0xfa8001dd9580	0x224	Event	0x100003	-
2332	mspaint.exe	0xfa8002d6c670	0x228	Event	0x100003	-
2332	mspaint.exe	0xfa8002922bb0	0x22c	Event	0x100003	-
2332	mspaint.exe	0xfa80027c6d60	0x230	Event	0x1f0003	-
2332	mspaint.exe	0xfa8002d3f1b0	0x234	Thread	0x1fffff	Tid 304 Pid 2332
