Volatility 3 Framework 2.28.1

Offset	Record Type	Record Number	Link Count	MFT Type	Permissions	Attribute Type	Created	Modified	Updated	Accessed	Filename

0x50050	FILE	24412	1	File	N/A	STANDARD_INFORMATION	2009-07-14 05:32:06.000000 UTC	2009-07-14 01:44:24.000000 UTC	2017-01-29 02:58:51.000000 UTC	2009-07-14 05:32:06.000000 UTC	N/A
* 0x500b0	FILE	24412	1	File	Archive	FILE_NAME	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	prnlx009.cat
0x50450	FILE	24413	2	File	N/A	STANDARD_INFORMATION	2009-07-14 01:42:17.000000 UTC	2009-07-14 01:44:24.000000 UTC	2017-01-29 02:58:51.000000 UTC	2009-07-14 01:42:17.000000 UTC	N/A
* 0x504b0	FILE	24413	2	File	Archive	FILE_NAME	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	prnlx00a.cat
* 0x50528	FILE	24413	2	File	Archive	FILE_NAME	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	prnlx00a.cat
0x50850	FILE	24414	1	File	N/A	STANDARD_INFORMATION	2009-07-14 05:32:06.000000 UTC	2009-07-14 01:44:24.000000 UTC	2017-01-29 02:58:51.000000 UTC	2009-07-14 05:32:06.000000 UTC	N/A
* 0x508b0	FILE	24414	1	File	Archive	FILE_NAME	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	prnlx00a.cat
0x50c50	FILE	24415	2	File	N/A	STANDARD_INFORMATION	2009-07-14 01:43:04.000000 UTC	2009-07-14 01:44:24.000000 UTC	2017-01-29 02:58:51.000000 UTC	2009-07-14 01:43:04.000000 UTC	N/A
* 0x50cb0	FILE	24415	2	File	Archive	FILE_NAME	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	prnlx00b.cat
* 0x50d28	FILE	24415	2	File	Archive	FILE_NAME	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	2017-01-29 02:58:49.000000 UTC	prnlx00b.cat
0x91050	FILE	34460	2	File	N/A	STANDARD_INFORMATION	2009-07-14 01:18:06.000000 UTC	2009-07-14 01:41:49.000000 UTC	2017-01-29 03:04:07.000000 UTC	2009-07-14 01:18:06.000000 UTC	N/A
* 0x910b0	FILE	34460	2	File	Archive	FILE_NAME	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	RIARES7.DLL
* 0x91120	FILE	34460	2	File	Archive	FILE_NAME	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	RIARES7.DLL
0x91450	FILE	34461	2	File	N/A	STANDARD_INFORMATION	2009-07-14 01:18:28.000000 UTC	2009-07-14 01:41:50.000000 UTC	2017-01-29 03:04:07.000000 UTC	2009-07-14 01:18:29.000000 UTC	N/A
* 0x914b0	FILE	34461	2	File	Archive	FILE_NAME	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	RIAUI17.DLL
* 0x91520	FILE	34461	2	File	Archive	FILE_NAME	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	RIAUI17.DLL
0x91850	FILE	34462	2	File	N/A	STANDARD_INFORMATION	2009-07-14 01:18:51.000000 UTC	2009-07-14 01:41:50.000000 UTC	2017-01-29 03:04:07.000000 UTC	2009-07-14 01:18:52.000000 UTC	N/A
* 0x918b0	FILE	34462	2	File	Archive	FILE_NAME	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	RIAUI27.DLL
* 0x91920	FILE	34462	2	File	Archive	FILE_NAME	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	RIAUI27.DLL
0x91c50	FILE	34463	2	File	N/A	STANDARD_INFORMATION	2010-11-21 03:24:28.000000 UTC	2010-11-21 03:24:28.000000 UTC	2017-01-29 03:04:07.000000 UTC	2010-11-21 03:24:28.000000 UTC	N/A
* 0x91cb0	FILE	34463	2	File	Archive	FILE_NAME	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	riched20.dll
* 0x91d28	FILE	34463	2	File	Archive	FILE_NAME	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	2017-01-29 03:02:49.000000 UTC	riched20.dll
0x123050	FILE	67524	2	File	N/A	STANDARD_INFORMATION	2011-04-12 08:17:17.000000 UTC	2011-04-12 08:17:17.000000 UTC	2017-01-29 03:09:10.000000 UTC	2011-04-12 08:17:18.000000 UTC	N/A
* 0x1230b0	FILE	67524	2	File	Archive	FILE_NAME	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	devmgmt.msc
* 0x123120	FILE	67524	2	File	Archive	FILE_NAME	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	devmgmt.msc
0x123450	FILE	67525	2	File	N/A	STANDARD_INFORMATION	2009-07-13 21:34:35.000000 UTC	2009-06-10 21:47:11.000000 UTC	2017-01-29 03:09:10.000000 UTC	2009-07-13 21:34:35.000000 UTC	N/A
* 0x1234b0	FILE	67525	2	File	Archive	FILE_NAME	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	diskmgmt.msc
* 0x123528	FILE	67525	2	File	Archive	FILE_NAME	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	diskmgmt.msc
0x123850	FILE	67526	2	File	N/A	STANDARD_INFORMATION	2011-04-12 08:17:17.000000 UTC	2011-04-12 08:17:17.000000 UTC	2017-01-29 03:09:10.000000 UTC	2011-04-12 08:17:17.000000 UTC	N/A
* 0x1238b0	FILE	67526	2	File	Archive	FILE_NAME	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	diskmgmt.msc
* 0x123928	FILE	67526	2	File	Archive	FILE_NAME	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	diskmgmt.msc
0x123c50	FILE	67527	2	File	N/A	STANDARD_INFORMATION	2009-07-13 21:19:46.000000 UTC	2009-06-10 21:08:37.000000 UTC	2017-01-29 03:09:10.000000 UTC	2009-07-13 21:19:46.000000 UTC	N/A
* 0x123cb0	FILE	67527	2	File	Archive	FILE_NAME	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	diskmgmt.msc
* 0x123d28	FILE	67527	2	File	Archive	FILE_NAME	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	2017-01-29 03:09:05.000000 UTC	diskmgmt.msc
0x133050	FILE	22940	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:31.000000 UTC	2013-02-01 18:37:05.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:06:31.000000 UTC	N/A
* 0x1330b0	FILE	22940	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-MiniLP~31bf3856ad364e35~amd64~en-US~7.1.7601.16492.cat
* 0x1331e8	FILE	22940	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	MI7EE0~1.CAT
0x133450	FILE	22941	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:31.000000 UTC	2013-02-01 18:37:15.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:06:31.000000 UTC	N/A
* 0x1334b0	FILE	22941	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-MiniLP~31bf3856ad364e35~amd64~es-ES~7.1.7601.16492.cat
* 0x1335e8	FILE	22941	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	MI6BEB~1.CAT
0x133850	FILE	22942	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:31.000000 UTC	2013-02-01 18:37:15.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:06:31.000000 UTC	N/A
* 0x1338b0	FILE	22942	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-MiniLP~31bf3856ad364e35~amd64~es-ES~7.1.7601.16492.cat
* 0x1339e8	FILE	22942	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	MI6BEB~1.CAT
0x133c50	FILE	22943	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:31.000000 UTC	2013-02-01 18:37:15.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:06:31.000000 UTC	N/A
* 0x133cb0	FILE	22943	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-MiniLP~31bf3856ad364e35~amd64~et-EE~7.1.7601.16492.cat
* 0x133de8	FILE	22943	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	MI01D6~1.CAT
0x143050	FILE	19676	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:27.000000 UTC	2015-04-24 20:06:27.000000 UTC	2017-01-29 02:58:46.000000 UTC	2015-04-24 20:06:27.000000 UTC	N/A
* 0x1430b0	FILE	19676	2	File	Archive	FILE_NAME	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	14954F~1.CAT
* 0x143128	FILE	19676	2	File	Archive	FILE_NAME	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	14954f8a7dcaeec3aba964375e73f5d03dbfb32544ab8cd1cfa45b4181a0aa3c.cat
0x143450	FILE	19677	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:31.000000 UTC	2013-02-01 18:37:24.000000 UTC	2017-01-29 02:58:46.000000 UTC	2015-04-24 20:06:31.000000 UTC	N/A
* 0x1434b0	FILE	19677	2	File	Archive	FILE_NAME	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	Win8IP-Microsoft-Windows-Printing-Package~31bf3856ad364e35~amd64~~7.1.7601.16492.cat
* 0x1435b8	FILE	19677	2	File	Archive	FILE_NAME	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	WIN8IP~3.CAT
0x143850	FILE	19678	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:31.000000 UTC	2013-02-01 18:37:24.000000 UTC	2017-01-29 02:58:46.000000 UTC	2015-04-24 20:06:31.000000 UTC	N/A
* 0x1438b0	FILE	19678	2	File	Archive	FILE_NAME	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	Win8IP-Microsoft-Windows-Printing-Package~31bf3856ad364e35~amd64~~7.1.7601.16492.cat
* 0x1439b8	FILE	19678	2	File	Archive	FILE_NAME	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	WIN8IP~3.CAT
0x143c50	FILE	19679	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:21:03.000000 UTC	2015-04-24 20:21:03.000000 UTC	2017-01-29 02:58:46.000000 UTC	2015-04-24 20:21:03.000000 UTC	N/A
* 0x143cb0	FILE	19679	2	File	Archive	FILE_NAME	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	149B95~1.CAT
* 0x143d28	FILE	19679	2	File	Archive	FILE_NAME	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	2017-01-29 02:58:32.000000 UTC	149b95cbc72e3d5e45a7469d4701d02823e9a08f1d8f67536c1201373f48371b.cat
0x14b050	FILE	23636	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:10:05.000000 UTC	2012-09-12 15:05:15.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:10:05.000000 UTC	N/A
* 0x14b0b0	FILE	23636	2	File	Archive	FILE_NAME	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	Package_for_KB2705219_SP1~31bf3856ad364e35~amd64~~6.1.2.0.cat
* 0x14b188	FILE	23636	2	File	Archive	FILE_NAME	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	PA9DFF~1.CAT
0x14b450	FILE	23637	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:10:05.000000 UTC	2012-09-12 15:05:15.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:10:05.000000 UTC	N/A
* 0x14b4b0	FILE	23637	2	File	Archive	FILE_NAME	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	Package_for_KB2705219~31bf3856ad364e35~amd64~~6.1.2.0.cat
* 0x14b580	FILE	23637	2	File	Archive	FILE_NAME	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	PAECAC~1.CAT
0x14b850	FILE	23638	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:10:05.000000 UTC	2012-09-12 15:05:15.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:10:05.000000 UTC	N/A
* 0x14b8b0	FILE	23638	2	File	Archive	FILE_NAME	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	Package_for_KB2705219~31bf3856ad364e35~amd64~~6.1.2.0.cat
* 0x14b980	FILE	23638	2	File	Archive	FILE_NAME	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	PAECAC~1.CAT
