Volatility 3 Framework 2.28.0

PID	Process	Block	Variable	Value

308	smss.exe	0x3b08c0	Path	C:\Windows\System32
308	smss.exe	0x3b08c0	SystemDrive	C:
308	smss.exe	0x3b08c0	SystemRoot	C:\Windows
404	csrss.exe	0x1c0cc0	ComSpec	C:\Windows\system32\cmd.exe
404	csrss.exe	0x1c0cc0	FP_NO_HOST_CHECK	NO
404	csrss.exe	0x1c0cc0	NUMBER_OF_PROCESSORS	1
404	csrss.exe	0x1c0cc0	OS	Windows_NT
404	csrss.exe	0x1c0cc0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
404	csrss.exe	0x1c0cc0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
404	csrss.exe	0x1c0cc0	PROCESSOR_ARCHITECTURE	x86
404	csrss.exe	0x1c0cc0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
404	csrss.exe	0x1c0cc0	PROCESSOR_LEVEL	6
404	csrss.exe	0x1c0cc0	PROCESSOR_REVISION	1706
404	csrss.exe	0x1c0cc0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
404	csrss.exe	0x1c0cc0	SystemDrive	C:
404	csrss.exe	0x1c0cc0	SystemRoot	C:\Windows
404	csrss.exe	0x1c0cc0	TEMP	C:\Windows\TEMP
404	csrss.exe	0x1c0cc0	TMP	C:\Windows\TEMP
404	csrss.exe	0x1c0cc0	USERNAME	SYSTEM
404	csrss.exe	0x1c0cc0	windir	C:\Windows
468	csrss.exe	0x430cc0	ComSpec	C:\Windows\system32\cmd.exe
468	csrss.exe	0x430cc0	FP_NO_HOST_CHECK	NO
468	csrss.exe	0x430cc0	NUMBER_OF_PROCESSORS	1
468	csrss.exe	0x430cc0	OS	Windows_NT
468	csrss.exe	0x430cc0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
468	csrss.exe	0x430cc0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
468	csrss.exe	0x430cc0	PROCESSOR_ARCHITECTURE	x86
468	csrss.exe	0x430cc0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
468	csrss.exe	0x430cc0	PROCESSOR_LEVEL	6
468	csrss.exe	0x430cc0	PROCESSOR_REVISION	1706
468	csrss.exe	0x430cc0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
468	csrss.exe	0x430cc0	SystemDrive	C:
