Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

2168	468	conhost.exe	0xe506b0	2	49	1	False	2013-01-12 16:55:50.000000 UTC	N/A	Disabled
1136	2548	iexplore.exe	0xa47f678	18	454	1	False	2013-01-12 16:57:44.000000 UTC	N/A	Disabled
3556	3544	soffice.bin	0xaee2d18	0	-	1	False	2013-01-12 16:41:05.000000 UTC	2013-01-12 16:41:39.000000 UTC	Disabled
336	560	wlms.exe	0xc5267e0	4	45	0	False	2013-01-12 16:39:21.000000 UTC	N/A	Disabled
1232	2548	taskmgr.exe	0xc5fbc18	6	116	1	False	2013-01-12 16:42:29.000000 UTC	N/A	Disabled
1612	560	TPAutoConnSvc.	0x1c059030	9	135	0	False	2013-01-12 16:39:23.000000 UTC	N/A	Disabled
1712	560	spoolsv.exe	0x1d6f9c40	14	338	0	False	2013-01-12 16:38:58.000000 UTC	N/A	Disabled
1748	560	svchost.exe	0x1d702748	18	310	0	False	2013-01-12 16:38:58.000000 UTC	N/A	Disabled
1968	560	vmtoolsd.exe	0x1d7d84e0	6	220	0	False	2013-01-12 16:39:14.000000 UTC	N/A	Disabled
448	560	VMUpgradeHelpe	0x1d7f5030	4	89	0	False	2013-01-12 16:39:21.000000 UTC	N/A	Disabled
3624	560	svchost.exe	0x1d91d3e8	14	348	0	False	2013-01-12 16:41:22.000000 UTC	N/A	Disabled
3352	560	svchost.exe	0x1d93d2c0	9	141	0	False	2013-01-12 16:40:58.000000 UTC	N/A	Disabled
832	560	svchost.exe	0x1de05420	19	435	0	False	2013-01-12 16:38:23.000000 UTC	N/A	Disabled
904	560	svchost.exe	0x1de52918	17	409	0	False	2013-01-12 16:38:24.000000 UTC	N/A	Disabled
928	560	svchost.exe	0x1de6b030	26	869	0	False	2013-01-12 16:38:24.000000 UTC	N/A	Disabled
1084	560	svchost.exe	0x1de911a8	10	257	0	False	2013-01-12 16:38:26.000000 UTC	N/A	Disabled
1616	2772	cmd.exe	0x1de98030	2	101	1	False	2013-01-12 16:55:49.000000 UTC	N/A	Disabled
1220	560	AvastSvc.exe	0x1dea7868	66	1180	0	False	2013-01-12 16:38:28.000000 UTC	N/A	Disabled
1172	560	svchost.exe	0x1deb2790	15	475	0	False	2013-01-12 16:38:27.000000 UTC	N/A	Disabled
2900	560	SearchIndexer.	0x1defbb18	13	636	0	False	2013-01-12 16:40:38.000000 UTC	N/A	Disabled
2744	2548	StikyNot.exe	0x1defe8c0	8	135	1	False	2013-01-12 16:40:32.000000 UTC	N/A	Disabled
560	456	services.exe	0x1e0294c0	6	205	0	False	2013-01-12 16:38:16.000000 UTC	N/A	Disabled
692	560	svchost.exe	0x1e02f030	10	353	0	False	2013-01-12 16:38:21.000000 UTC	N/A	Disabled
584	456	lsm.exe	0x1e02f7e8	10	142	0	False	2013-01-12 16:38:16.000000 UTC	N/A	Disabled
576	456	lsass.exe	0x1e0427b8	6	566	0	False	2013-01-12 16:38:16.000000 UTC	N/A	Disabled
764	560	svchost.exe	0x1e1b5c20	7	263	0	False	2013-01-12 16:38:23.000000 UTC	N/A	Disabled
404	396	csrss.exe	0x1e49fd40	9	469	0	False	2013-01-12 16:38:14.000000 UTC	N/A	Disabled
456	396	wininit.exe	0x1e4ac2b8	3	77	0	False	2013-01-12 16:38:14.000000 UTC	N/A	Disabled
500	448	winlogon.exe	0x1e4ced40	3	111	1	False	2013-01-12 16:38:14.000000 UTC	N/A	Disabled
308	4	smss.exe	0x1ea3ed40	2	29	N/A	False	2013-01-12 16:38:09.000000 UTC	N/A	Disabled
1872	560	sppsvc.exe	0x1eaded40	4	143	0	False	2013-01-12 16:39:02.000000 UTC	N/A	Disabled
468	448	csrss.exe	0x1eb03a00	10	471	1	False	2013-01-12 16:38:14.000000 UTC	N/A	Disabled
1616	2772	cmd.exe	0x1f6aa030	2	101	1	False	2013-01-12 16:55:49.000000 UTC	N/A	Disabled
904	560	svchost.exe	0x1f887918	17	409	0	False	2013-01-12 16:38:24.000000 UTC	N/A	Disabled
3228	468	conhost.exe	0x1fa595b0	2	54	1	False	2013-01-12 16:44:50.000000 UTC	N/A	Disabled
3452	2548	swriter.exe	0x1fa6a2a0	1	19	1	False	2013-01-12 16:41:01.000000 UTC	N/A	Disabled
1720	832	audiodg.exe	0x1fa90d40	5	117	0	False	2013-01-12 16:58:11.000000 UTC	N/A	Disabled
3144	3152	winpmem-1.3.1.	0x1fabfd40	1	23	1	False	2013-01-12 16:59:17.000000 UTC	N/A	Disabled
3044	1136	iexplore.exe	0x1fb4d338	37	937	1	False	2013-01-12 16:57:46.000000 UTC	N/A	Disabled
