Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0x87978b78	103	3257	N/A	False	2013-01-12 16:38:09.000000 UTC	N/A	-	-	-
* 308	4	smss.exe	0x88c3ed40	2	29	N/A	False	2013-01-12 16:38:09.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
404	396	csrss.exe	0x8929fd40	9	469	0	False	2013-01-12 16:38:14.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
456	396	wininit.exe	0x892ac2b8	3	77	0	False	2013-01-12 16:38:14.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\wininit.exe	-	-
* 560	456	services.exe	0x896294c0	6	205	0	False	2013-01-12 16:38:16.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 904	560	svchost.exe	0x89852918	17	409	0	False	2013-01-12 16:38:24.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted	C:\Windows\System32\svchost.exe
*** 2496	904	dwm.exe	0x87ad44d0	5	77	1	False	2013-01-12 16:40:25.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\dwm.exe	"C:\Windows\system32\Dwm.exe"	C:\Windows\system32\Dwm.exe
** 1172	560	svchost.exe	0x898b2790	15	475	0	False	2013-01-12 16:38:27.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService	C:\Windows\system32\svchost.exe
** 3352	560	svchost.exe	0x89f3d2c0	9	141	0	False	2013-01-12 16:40:58.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation	C:\Windows\system32\svchost.exe
** 928	560	svchost.exe	0x8986b030	26	869	0	False	2013-01-12 16:38:24.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs	C:\Windows\system32\svchost.exe
** 3624	560	svchost.exe	0x89f1d3e8	14	348	0	False	2013-01-12 16:41:22.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k secsvcs	C:\Windows\System32\svchost.exe
** 1712	560	spoolsv.exe	0x8a0f9c40	14	338	0	False	2013-01-12 16:38:58.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\spoolsv.exe	C:\Windows\System32\spoolsv.exe	C:\Windows\System32\spoolsv.exe
