Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0x83f2f9e8	87	494	N/A	False	2016-09-15 10:10:39.000000 UTC	N/A	Disabled
268	4	smss.exe	0x84e5d020	2	29	N/A	False	2016-09-15 10:10:39.000000 UTC	N/A	Disabled
344	336	csrss.exe	0x84d9cd40	8	404	0	False	2016-09-15 10:10:40.000000 UTC	N/A	Disabled
380	336	wininit.exe	0x853fa2b8	3	76	0	False	2016-09-15 10:10:40.000000 UTC	N/A	Disabled
388	372	csrss.exe	0x84f19030	7	301	1	False	2016-09-15 10:10:40.000000 UTC	N/A	Disabled
416	372	winlogon.exe	0x85422368	4	113	1	False	2016-09-15 10:10:40.000000 UTC	N/A	Disabled
476	380	services.exe	0x85435310	8	192	0	False	2016-09-15 10:10:40.000000 UTC	N/A	Disabled
484	380	lsass.exe	0x8543fb18	9	724	0	False	2016-09-15 10:10:40.000000 UTC	N/A	Disabled
492	380	lsm.exe	0x85443030	10	144	0	False	2016-09-15 10:10:40.000000 UTC	N/A	Disabled
584	476	svchost.exe	0x854fe6c8	11	353	0	False	2016-09-15 10:10:42.000000 UTC	N/A	Disabled
640	476	VBoxService.ex	0x8550dd40	13	115	0	False	2016-09-15 10:10:42.000000 UTC	N/A	Disabled
692	476	svchost.exe	0x85631030	7	273	0	False	2016-09-15 10:10:42.000000 UTC	N/A	Disabled
764	476	svchost.exe	0x85653ac0	20	494	0	False	2016-09-15 10:10:42.000000 UTC	N/A	Disabled
844	476	svchost.exe	0x85666a60	32	547	0	False	2016-09-15 10:10:42.000000 UTC	N/A	Disabled
872	476	svchost.exe	0x8566dad8	34	746	0	False	2016-09-15 10:10:42.000000 UTC	N/A	Disabled
992	476	svchost.exe	0x85699030	22	468	0	False	2016-09-15 10:10:43.000000 UTC	N/A	Disabled
1104	476	svchost.exe	0x856c1598	20	378	0	False	2016-09-15 10:10:43.000000 UTC	N/A	Disabled
1204	476	spoolsv.exe	0x856e9bd0	15	290	0	False	2016-09-15 10:10:44.000000 UTC	N/A	Disabled
1232	476	svchost.exe	0x85703888	21	319	0	False	2016-09-15 10:10:44.000000 UTC	N/A	Disabled
1320	476	svchost.exe	0x85736030	23	332	0	False	2016-09-15 10:10:44.000000 UTC	N/A	Disabled
1892	844	dwm.exe	0x857f3030	4	67	1	False	2016-09-15 10:10:52.000000 UTC	N/A	Disabled
1912	476	taskhost.exe	0x8571cd40	11	169	1	False	2016-09-15 10:10:52.000000 UTC	N/A	Disabled
1956	1884	explorer.exe	0x8582ca58	48	1015	1	False	2016-09-15 10:10:52.000000 UTC	N/A	Disabled
540	296	rundll32.exe	0x8589a770	4	59	1	False	2016-09-15 10:10:53.000000 UTC	N/A	Disabled
600	544	rundll32.exe	0x8580ca50	4	59	1	False	2016-09-15 10:10:53.000000 UTC	N/A	Disabled
1124	1956	VBoxTray.exe	0x858cbd40	14	167	1	False	2016-09-15 10:10:53.000000 UTC	N/A	Disabled
940	476	SearchIndexer.	0x858fe610	13	560	0	False	2016-09-15 10:10:59.000000 UTC	N/A	Disabled
392	476	wmpnetwk.exe	0x85931030	18	439	0	False	2016-09-15 10:10:59.000000 UTC	N/A	Disabled
2152	940	SearchProtocol	0x85979a58	9	262	1	False	2016-09-15 10:11:00.000000 UTC	N/A	Disabled
2172	940	SearchFilterHo	0x85964690	5	77	0	False	2016-09-15 10:11:00.000000 UTC	N/A	Disabled
2292	476	svchost.exe	0x85983aa0	8	344	0	False	2016-09-15 10:11:00.000000 UTC	N/A	Disabled
2456	584	WmiPrvSE.exe	0x859b0198	8	113	0	False	2016-09-15 10:11:01.000000 UTC	N/A	Disabled
2644	1956	mspaint.exe	0x85a39ab8	7	147	1	False	2016-09-15 10:11:13.000000 UTC	N/A	Disabled
2672	476	svchost.exe	0x85a3db10	8	105	0	False	2016-09-15 10:11:14.000000 UTC	N/A	Disabled
2720	1956	firefox.exe	0x85a57d40	49	756	1	False	2016-09-15 10:11:15.000000 UTC	N/A	Disabled
2864	584	WmiPrvSE.exe	0x85a89030	6	112	0	False	2016-09-15 10:11:16.000000 UTC	N/A	Disabled
3224	1956	TrueCrypt.exe	0x84e27030	14	326	1	False	2016-09-15 10:11:20.000000 UTC	N/A	Disabled
3716	3684	notepad.exe	0x8579a030	2	59	1	False	2016-09-15 10:11:59.000000 UTC	N/A	Disabled
